行の名前,Hiragana,Katakana,initials1,initials2,initials3
XA,ぁ,ァ,x,l,
LA,ぁ,ァ,x,l,
A,あ,ア,a,,
Xi,ぃ,ィ,x,l,
Li,ぃ,ィ,x,l,
I,い,イ,i,yi,
YI,い,イ,i,yi,
YE,いぇ,イェ,y,,
XU,ぅ,ゥ,x,l,
LU,ぅ,ゥ,x,l,
U,う,ウ,u,wh,
WHU,う,ウ,u,wh,
VU,ヴ,ヴ,v,,
WHA,うぁ,ウァ,wh,,
VA,ヴぁ,ヴァ,v,,
WI,うぃ,ウィ,wh,w,
WHI,うぃ,ウィ,wh,w,
VI,ヴぃ,ヴィ,v,,
WE,うぇ,ウェ,wh,w,
WHE,うぇ,ウェ,wh,w,
VE,ヴぇ,ヴェ,v,,
WHO,うぉ,ウォ,wh,,
VO,ヴぉ,ヴォ,v,,
XE,ぇ,ェ,x,l,
LE,ぇ,ェ,x,l,
E,え,エ,e,,
XO,ぉ,ォ,x,l,
LO,ぉ,ォ,x,l,
O,お,オ,o,,
KA,か,カ,k,c,
CA,か,カ,k,c,
GA,が,ガ,g,,
KI,き,キ,k,,
GI,ぎ,ギ,g,,
KYI,きぃ,キィ,k,,
GYI,ぎぃ,ギィ,g,,
KYE,きぇ,キェ,k,,
GYE,ぎぇ,ギェ,g,,
KYA,きゃ,キャ,k,,
GYA,ぎゃ,ギャ,g,,
KYU,きゅ,キュ,k,,
GYU,ぎゅ,ギュ,g,,
KYO,きょ,キョ,k,,
GYO,ぎょ,ギョ,g,,
KU,く,ク,k,c,q
CU,く,ク,k,c,q
QU,く,ク,k,c,q
GU,ぐ,グ,g,,
QA,くぁ,クァ,q,,
QI,くぃ,クィ,q,,
QE,くぇ,クェ,q,,
QO,くぉ,クォ,q,,
KE,け,ケ,k,,
GE,げ,ゲ,g,,
KO,こ,コ,k,c,
CO,こ,コ,k,c,
GO,ご,ゴ,g,,
SA,さ,サ,s,,
ZA,ざ,ザ,z,,
SI,し,シ,s,c,sh
CI,し,シ,s,c,sh
SHI,し,シ,s,c,sh
ZI,じ,ジ,z,j,
JI,じ,ジ,z,j,
SYI,しぃ,シィ,s,,
ZYI,じぃ,ジィ,z,jy,
JYI,じぃ,ジィ,z,jy,
SYE,しぇ,シェ,s,sh,
SHE,しぇ,シェ,s,sh,
ZYE,じぇ,ジェ,z,j,jy
JE,じぇ,ジェ,z,j,jy
JYE,じぇ,ジェ,z,j,jy
SYA,しゃ,シャ,s,sh,
SHA,しゃ,シャ,s,sh,
ZYA,じゃ,ジャ,z,j,jy
JA,じゃ,ジャ,z,j,jy
